dataset,method,mode,repetition,accuracy
FaceFour,SVM,pretrained-small,8,0.3977272727272727
FaceFour,NN,pretrained-small,8,0.45454545454545453
FaceFour,SVM,pretrained-small,9,0.3977272727272727
FaceFour,NN,pretrained-small,9,0.45454545454545453
FaceFour,SVM,pretrained-small,10,0.3977272727272727
FaceFour,NN,pretrained-small,10,0.45454545454545453
SyntheticControl,SVM,fine-tune,1,0.96
SyntheticControl,NN,fine-tune,1,0.9533333333333334
SyntheticControl,SVM,fine-tune,2,0.96
SyntheticControl,NN,fine-tune,2,0.95
SyntheticControl,SVM,fine-tune,3,0.96
SyntheticControl,NN,fine-tune,3,0.95
SyntheticControl,SVM,fine-tune,4,0.96
SyntheticControl,NN,fine-tune,4,0.9333333333333333
SyntheticControl,SVM,fine-tune,5,0.96
SyntheticControl,NN,fine-tune,5,0.96
SyntheticControl,SVM,fine-tune,6,0.96
SyntheticControl,NN,fine-tune,6,0.9433333333333334
SyntheticControl,SVM,fine-tune,7,0.96
SyntheticControl,NN,fine-tune,7,0.9466666666666667
SyntheticControl,SVM,fine-tune,8,0.96
SyntheticControl,NN,fine-tune,8,0.95
SyntheticControl,SVM,fine-tune,9,0.96
SyntheticControl,NN,fine-tune,9,0.95
SyntheticControl,SVM,fine-tune,10,0.96
SyntheticControl,NN,fine-tune,10,0.9533333333333334
SyntheticControl,SVM,pretrained-small,1,0.9133333333333333
SyntheticControl,NN,pretrained-small,1,0.9666666666666667
SyntheticControl,SVM,pretrained-small,2,0.9133333333333333
SyntheticControl,NN,pretrained-small,2,0.9666666666666667
SyntheticControl,SVM,pretrained-small,3,0.9133333333333333
SyntheticControl,NN,pretrained-small,3,0.96
SyntheticControl,SVM,pretrained-small,4,0.9133333333333333
SyntheticControl,NN,pretrained-small,4,0.9333333333333333
SyntheticControl,SVM,pretrained-small,5,0.9133333333333333
SyntheticControl,NN,pretrained-small,5,0.96
SyntheticControl,SVM,pretrained-small,6,0.9133333333333333
SyntheticControl,NN,pretrained-small,6,0.9466666666666667
SyntheticControl,SVM,pretrained-small,7,0.9133333333333333
SyntheticControl,NN,pretrained-small,7,0.9533333333333334
SyntheticControl,SVM,pretrained-small,8,0.9133333333333333
SyntheticControl,NN,pretrained-small,8,0.9566666666666667
SyntheticControl,SVM,pretrained-small,9,0.9133333333333333
SyntheticControl,NN,pretrained-small,9,0.9666666666666667
SyntheticControl,SVM,pretrained-small,10,0.9133333333333333
SyntheticControl,NN,pretrained-small,10,0.9666666666666667
WormsTwoClass,SVM,fine-tune,1,0.5974025974025974
WormsTwoClass,NN,fine-tune,1,0.6883116883116883
WormsTwoClass,SVM,fine-tune,2,0.5974025974025974
WormsTwoClass,NN,fine-tune,2,0.7142857142857143
WormsTwoClass,SVM,fine-tune,3,0.5974025974025974
WormsTwoClass,NN,fine-tune,3,0.7142857142857143
WormsTwoClass,SVM,fine-tune,4,0.5974025974025974
WormsTwoClass,NN,fine-tune,4,0.7142857142857143
WormsTwoClass,SVM,fine-tune,5,0.5974025974025974
WormsTwoClass,NN,fine-tune,5,0.7142857142857143
WormsTwoClass,SVM,fine-tune,6,0.5974025974025974
WormsTwoClass,NN,fine-tune,6,0.7142857142857143
WormsTwoClass,SVM,fine-tune,7,0.5974025974025974
WormsTwoClass,NN,fine-tune,7,0.7142857142857143
WormsTwoClass,SVM,fine-tune,8,0.5974025974025974
